序号,功能码,地址,名字,数据类型,倍率,偏移,单位
1.0,4,4097,系统故障码,INT,1.0,0.0,
2.0,4,4098,系统预警最高等级,INT,1.0,0.0,
3.0,4,4099,系统启动类型,INT,1.0,0.0,
4.0,4,4100,探测器1：预警等级,INT,1.0,0.0,
5.0,4,4101,探测器1：故障码,INT,1.0,0.0,
6.0,4,4102,探测器1：启动类型,INT,1.0,0.0,
7.0,4,4103,探测器1：温度,INT,1.0,-50.0,℃
8.0,4,4104,探测器1：CO,INT,1.0,0.0,ppm
9.0,4,4105,探测器1：烟雾,INT,1.0,0.0,db/m
10.0,4,4106,探测器1：VOC,INT,1.0,0.0,%
11.0,4,4107,探测器2：预警等级,INT,1.0,0.0,
12.0,4,4108,探测器2：故障码,INT,1.0,0.0,
13.0,4,4109,探测器2：启动类型,INT,1.0,0.0,
14.0,4,4110,探测器2：温度,INT,1.0,-50.0,℃
15.0,4,4111,探测器2：CO,INT,1.0,0.0,ppm
16.0,4,4112,探测器2：烟雾,INT,1.0,0.0,db/m
17.0,4,4113,探测器2：VOC,INT,1.0,0.0,%
18.0,4,4114,探测器3：预警等级,INT,1.0,0.0,
19.0,4,4115,探测器3：故障码,INT,1.0,0.0,
20.0,4,4116,探测器3：启动类型,INT,1.0,0.0,
21.0,4,4117,探测器3：温度,INT,1.0,-50.0,℃
22.0,4,4118,探测器3：CO,INT,1.0,0.0,ppm
23.0,4,4119,探测器3：烟雾,INT,1.0,0.0,db/m
24.0,4,4120,探测器3：VOC,INT,1.0,0.0,%
25.0,4,4121,探测器4：预警等级,INT,1.0,0.0,
26.0,4,4122,探测器4：故障码,INT,1.0,0.0,
27.0,4,4123,探测器4：启动类型,INT,1.0,0.0,
28.0,4,4124,探测器4：温度,INT,1.0,-50.0,℃
29.0,4,4125,探测器4：CO,INT,1.0,0.0,ppm
30.0,4,4126,探测器4：烟雾,INT,1.0,0.0,db/m
31.0,4,4127,探测器4：VOC,INT,1.0,0.0,%
,na,0,系统预警最高等级,2,,,
,na,1,探测器1：预警等级,2,,,
,na,2,探测器2：预警等级,2,,,
,na,3,探测器3：预警等级,2,,,
,na,4,探测器4：预警等级,2,,,
